Name,gauss(o=0_w=0.5_c=8),gauss(o=3_w=2_c=8),repulsion(o=0_c=8),hydrophobic(g=0.5_b=1.5_c=8),non_hydrophobic(g=0.5_b=1.5_c=8),vdw(i=6_j=12_s=1_^=100_c=8),non_dir_h_bond_lj(o=-0.7_^=100_c=8),non_dir_anti_h_bond_quadratic(o=0_c=8),non_dir_h_bond(g=-0.7_b=0_c=8),acceptor_acceptor_quadratic(o=0_c=8),donor_donor_quadratic(o=0_c=8),electrostatic(i=2_^=100_c=8),ad4_solvation(d-sigma=3.6_s/q=0.01097_c=8),num_tors_add,num_tors_sqr,num_tors_sqrt,num_tors_div,num_tors_div_simple,ligand_length,num_ligands,num_heavy_atoms_div,num_heavy_atoms,num_hydrophobic_atoms
2e1w_ada_C00031160_decoy1,80.30412,1309.74366,1.18622,30.20444,70.70920,-547.66148,-10.63626,0.00000,1.12002,0.00000,0.00000,0.31901,19.21657,6.00000,0.72000,0.10954,0.00000,0.00000,6.00000,1.00000,0.00000,1.25000,0.30000
2e1w_ada_C00036440_decoy1,76.99934,1271.22770,0.85175,26.56925,64.25404,-498.16440,-14.49924,0.08727,1.59537,0.45063,0.00493,0.34589,26.60813,5.00000,0.50000,0.10000,0.00000,0.00000,8.00000,1.00000,0.00000,1.15000,0.50000
2e1w_ada_C00043707_decoy1,88.27639,1182.97890,2.98565,12.18193,127.30729,-500.87244,-24.70258,0.65689,2.35433,1.10345,0.00136,0.30239,21.28348,1.00000,0.02000,0.04472,0.00000,0.00000,1.00000,1.00000,0.00000,1.05000,0.30000
2e1w_ada_C00053046_decoy1,61.54232,1175.09035,1.47095,40.25604,55.98908,-474.70099,-13.50275,0.12794,2.00005,0.12794,0.00000,0.52729,20.14205,5.00000,0.50000,0.10000,0.00000,0.00000,4.00000,1.00000,0.00000,1.10000,0.55000
2e1w_ada_C00056733_decoy1,60.00036,918.67168,1.90753,9.90881,75.98055,-354.08420,-26.98289,0.00000,3.80135,0.71066,0.49938,0.47764,12.65399,4.00000,0.32000,0.08944,0.00000,0.00000,4.00000,1.00000,0.00000,0.75000,0.10000
2e1w_ada_C00058355_decoy1,75.76975,1249.04471,1.48194,65.31408,47.97535,-478.44687,-16.08209,0.02766,1.97913,0.45591,0.00000,0.36852,15.36611,5.00000,0.50000,0.10000,0.00000,0.00000,6.00000,1.00000,0.00000,1.15000,0.55000
2e1w_ada_C00070607_decoy1,51.65822,765.33037,0.61117,28.33216,34.55160,-331.81017,-10.05145,0.00000,1.42346,0.00000,0.00000,0.12531,6.66446,5.00000,0.50000,0.10000,0.00000,0.00000,6.00000,1.00000,0.00000,1.10000,0.50000
2e1w_ada_C00115919_decoy1,83.03775,1283.78276,2.80342,27.49577,78.83887,-516.98384,-22.71835,0.20773,3.16724,0.29899,0.00204,0.40437,21.89319,4.00000,0.32000,0.08944,0.00000,0.00000,6.00000,1.00000,0.00000,1.15000,0.55000
2e1w_ada_C00120978_decoy1,79.69391,1215.67973,1.20599,41.78716,63.83889,-474.21281,-16.94407,0.10877,1.92674,0.10877,0.00000,0.34573,19.66702,5.00000,0.50000,0.10000,0.00000,0.00000,6.00000,1.00000,0.00000,1.05000,0.35000
2e1w_ada_C00175000_decoy1,54.75477,1052.48051,1.66122,42.33617,46.62958,-415.60354,-19.26589,0.00103,2.63111,0.42753,0.00000,0.36690,17.78666,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.95000,0.60000
