Name,gauss(o=0_w=0.5_c=8),gauss(o=3_w=2_c=8),repulsion(o=0_c=8),hydrophobic(g=0.5_b=1.5_c=8),non_hydrophobic(g=0.5_b=1.5_c=8),vdw(i=6_j=12_s=1_^=100_c=8),non_dir_h_bond_lj(o=-0.7_^=100_c=8),non_dir_anti_h_bond_quadratic(o=0_c=8),non_dir_h_bond(g=-0.7_b=0_c=8),acceptor_acceptor_quadratic(o=0_c=8),donor_donor_quadratic(o=0_c=8),electrostatic(i=2_^=100_c=8),ad4_solvation(d-sigma=3.6_s/q=0.01097_c=8),num_tors_add,num_tors_sqr,num_tors_sqrt,num_tors_div,num_tors_div_simple,ligand_length,num_ligands,num_heavy_atoms_div,num_heavy_atoms,num_hydrophobic_atoms
3cqw_akt1_C00026124_decoy1,55.57031,1076.59591,0.78689,21.55770,32.10813,-396.04851,-4.12638,0.00000,0.39115,0.00000,0.00000,0.25500,7.86029,5.00000,0.50000,0.10000,0.00000,0.00000,8.00000,1.00000,0.00000,0.95000,0.50000
3cqw_akt1_C00036887_decoy1,28.00369,673.28480,0.36612,7.15242,38.63104,-222.62685,-10.59368,0.00000,1.26123,0.00000,0.00000,0.10781,8.18330,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.90000,0.35000
3cqw_akt1_C00048922_decoy1,67.40524,1201.55768,1.83282,5.10843,65.37923,-458.54290,-14.83384,0.11099,1.88714,0.10380,0.00719,0.05997,25.30731,2.00000,0.08000,0.06325,0.00000,0.00000,2.00000,1.00000,0.00000,1.00000,0.30000
3cqw_akt1_C00076416_decoy1,35.60067,709.40997,1.17542,12.08112,38.04169,-251.68119,-16.25970,0.01625,2.23407,0.42167,0.00000,0.18332,17.65956,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.05000,0.40000
3cqw_akt1_C00089498_decoy1,68.85726,1143.24624,3.05611,7.14132,85.98959,-441.74442,-17.29493,0.43806,2.32364,0.43806,0.04333,0.17322,15.49853,3.00000,0.18000,0.07746,0.00000,0.00000,4.00000,1.00000,0.00000,1.10000,0.15000
3cqw_akt1_C00090046_decoy1,74.91000,1310.68775,1.49976,29.36583,57.88800,-495.76235,-11.22245,0.00000,1.21111,0.20970,0.00000,0.21241,9.35960,4.00000,0.32000,0.08944,0.00000,0.00000,4.00000,1.00000,0.00000,1.15000,0.55000
3cqw_akt1_C00090466_decoy1,61.37315,1128.55170,0.35374,22.28383,43.29809,-453.51245,-5.47081,0.00000,0.22793,0.00000,0.00000,0.21081,8.98223,2.00000,0.08000,0.06325,0.00000,0.00000,2.00000,1.00000,0.00000,1.25000,0.65000
3cqw_akt1_C00091451_decoy1,44.66160,766.24880,1.53678,19.18979,31.92871,-287.89982,-18.92106,0.00595,2.55818,0.52218,0.00000,0.15902,13.61736,2.00000,0.08000,0.06325,0.00000,0.00000,2.00000,1.00000,0.00000,1.25000,0.60000
3cqw_akt1_C00093620_decoy1,80.65038,1373.58087,1.73460,31.55491,49.82615,-523.81274,-4.23343,0.00000,0.28845,0.00000,0.00000,0.18777,9.55515,5.00000,0.50000,0.10000,0.00000,0.00000,4.00000,1.00000,0.00000,1.20000,0.60000
3cqw_akt1_C00129494_decoy1,59.15020,1178.70634,0.56070,19.55237,38.34057,-421.66365,-1.21740,0.00000,0.00000,0.00000,0.00000,0.19417,9.18946,4.00000,0.32000,0.08944,0.00000,0.00000,4.00000,1.00000,0.00000,1.10000,0.50000
3cqw_akt1_C00138853_decoy1,74.00503,1303.81804,1.06323,25.91168,70.39099,-516.37057,-13.73913,0.00000,1.65030,0.00000,0.00000,0.41130,27.19457,5.00000,0.50000,0.10000,0.00000,0.00000,6.00000,1.00000,0.00000,1.15000,0.60000
3cqw_akt1_C00139797_decoy1,86.68240,1060.66037,3.36835,33.20608,82.74371,-487.60377,-26.66853,0.15068,3.55016,0.31541,0.08771,0.25468,18.40799,2.00000,0.08000,0.06325,0.00000,0.00000,2.00000,1.00000,0.00000,1.00000,0.35000
3cqw_akt1_C00165966_decoy1,47.39867,931.85154,1.00218,15.82306,38.58594,-343.31215,-0.83460,0.00000,0.00000,0.00000,0.00000,0.06863,10.72231,1.00000,0.02000,0.04472,0.00000,0.00000,1.00000,1.00000,0.00000,0.75000,0.25000
3cqw_akt1_C00173162_decoy1,66.23186,1053.10834,1.61353,41.44028,29.96861,-463.34674,-8.57469,0.00000,1.34242,0.00000,0.00000,0.15535,9.78813,4.00000,0.32000,0.08944,0.00000,0.00000,4.00000,1.00000,0.00000,1.05000,0.55000
3cqw_akt1_C00197317_decoy1,56.64463,1171.65990,2.47663,28.18288,61.58569,-430.74267,-16.39364,0.10239,2.14871,0.10239,0.06057,0.26593,9.30335,3.00000,0.18000,0.07746,0.00000,0.00000,4.00000,1.00000,0.00000,1.10000,0.40000
3cqw_akt1_C00198167_decoy1,62.50721,1208.10432,1.05698,22.61392,49.48255,-441.92158,-10.38786,0.00000,0.90034,0.12329,0.00000,0.13607,10.34137,2.00000,0.08000,0.06325,0.00000,0.00000,2.00000,1.00000,0.00000,1.00000,0.35000
3cqw_akt1_C00206909_decoy1,28.81022,759.73627,1.43074,14.57789,31.58684,-266.48958,-22.90782,0.00790,3.31637,1.14164,0.00000,0.18442,14.44425,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.20000,0.45000
3cqw_akt1_C00207998_decoy1,31.30134,799.03760,1.00905,12.36489,22.86945,-255.67552,-13.46787,0.00000,2.07676,0.27106,0.00000,0.28246,15.49876,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.15000,0.50000
3cqw_akt1_C00229724_decoy1,31.10445,679.49529,0.13953,17.37776,7.91440,-242.56317,-0.44886,0.00023,0.00000,0.00023,0.00000,0.17206,11.31593,3.00000,0.18000,0.07746,0.00000,0.00000,3.00000,1.00000,0.00000,1.20000,0.60000
3cqw_akt1_C00259062_decoy1,35.96838,740.55277,0.66388,8.55337,38.00181,-281.01496,-12.43573,0.00000,1.58821,0.00000,0.09067,0.15659,12.07816,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.95000,0.35000
3cqw_akt1_C00271124_decoy1,52.17427,1175.77159,1.13019,16.64174,43.83622,-434.31448,-1.20671,0.00000,0.00000,0.00000,0.00000,0.19347,14.60845,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.10000,0.45000
