Name,gauss(o=0_w=0.5_c=8),gauss(o=3_w=2_c=8),repulsion(o=0_c=8),hydrophobic(g=0.5_b=1.5_c=8),non_hydrophobic(g=0.5_b=1.5_c=8),vdw(i=6_j=12_s=1_^=100_c=8),non_dir_h_bond_lj(o=-0.7_^=100_c=8),non_dir_anti_h_bond_quadratic(o=0_c=8),non_dir_h_bond(g=-0.7_b=0_c=8),acceptor_acceptor_quadratic(o=0_c=8),donor_donor_quadratic(o=0_c=8),electrostatic(i=2_^=100_c=8),ad4_solvation(d-sigma=3.6_s/q=0.01097_c=8),num_tors_add,num_tors_sqr,num_tors_sqrt,num_tors_div,num_tors_div_simple,ligand_length,num_ligands,num_heavy_atoms_div,num_heavy_atoms,num_hydrophobic_atoms
1l2s_ampc_101_active_8_-61,58.46969,760.12665,1.00176,15.04896,51.58256,-304.34616,-14.79600,0.00000,2.05794,0.09447,0.09447,0.34928,15.33101,4.00000,0.32000,0.08944,0.00000,0.00000,4.00000,1.00000,0.00000,0.75000,0.25000
1l2s_ampc_102_active_8_-61,67.29761,895.11757,2.08764,25.78155,83.08217,-395.27460,-32.14615,0.00000,4.43579,0.46006,0.37457,0.42188,13.09055,5.00000,0.50000,0.10000,0.00000,0.00000,6.00000,1.00000,0.00000,0.85000,0.25000
1l2s_ampc_103_active_8_-61,74.93969,948.39955,1.86777,24.22189,80.17823,-412.43098,-32.07821,0.02757,3.78598,0.69414,0.40613,0.28537,17.63944,5.00000,0.50000,0.10000,0.00000,0.00000,8.00000,1.00000,0.00000,1.10000,0.25000
1l2s_ampc_104_active_8_-61,72.01668,1122.32178,2.85431,21.98948,83.46714,-453.41255,-34.88616,0.00000,5.09271,1.06814,0.02904,0.42360,20.64178,5.00000,0.50000,0.10000,0.00000,0.00000,8.00000,1.00000,0.00000,1.20000,0.40000
1l2s_ampc_105_active_8_-61,50.21339,904.31039,1.76266,19.83798,56.60757,-351.89390,-25.98360,0.01091,3.87144,0.60542,0.38142,0.38015,19.37328,4.00000,0.32000,0.08944,0.00000,0.00000,6.00000,1.00000,0.00000,0.95000,0.25000
1l2s_ampc_106_active_8_-61,56.36921,881.42207,1.34435,11.48125,42.47518,-351.34947,-16.20839,0.00000,2.42168,0.14024,0.00000,0.25869,15.97393,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.95000,0.30000
1l2s_ampc_107_active_8_-61,64.88371,1137.31382,3.93341,21.65264,85.01298,-484.05494,-47.38221,0.04878,7.36621,0.70468,0.53079,0.39799,21.54579,4.00000,0.32000,0.08944,0.00000,0.00000,6.00000,1.00000,0.00000,1.00000,0.45000
1l2s_ampc_108_active_8_-61,33.97663,745.42885,0.39565,2.38045,46.94507,-276.03510,-7.62706,0.00000,0.66821,0.21879,0.21879,0.27491,17.71881,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.95000,0.30000
1l2s_ampc_109_active_8_-61,66.88957,1020.54365,2.06405,29.65497,54.83178,-389.50623,-32.94707,0.00000,4.68060,0.87851,0.50978,0.42591,21.88462,4.00000,0.32000,0.08944,0.00000,0.00000,4.00000,1.00000,0.00000,1.00000,0.50000
1l2s_ampc_110_active_8_-61,36.12547,657.10973,0.50945,33.94077,14.26705,-266.70875,-4.82623,0.00000,0.64837,0.00000,0.20599,0.24808,17.65958,3.00000,0.18000,0.07746,0.00000,0.00000,4.00000,1.00000,0.00000,0.95000,0.55000
1l2s_ampc_111_active_8_-61,80.64289,986.52483,2.97857,36.68486,89.92177,-431.55269,-34.91618,0.19613,4.99238,1.27627,0.10124,0.43654,22.38004,5.00000,0.50000,0.10000,0.00000,0.00000,6.00000,1.00000,0.00000,0.95000,0.35000
1l2s_ampc_112_active_8_-61,35.09301,688.57523,0.42104,1.52201,50.72334,-244.43290,-10.04240,0.00000,0.90485,0.05772,0.05772,0.26588,16.39317,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.95000,0.30000
1l2s_ampc_113_active_8_-61,73.20447,1058.60861,2.41259,27.15713,75.91047,-441.78847,-32.43032,0.00282,4.54730,0.70715,0.21025,0.50347,26.65374,5.00000,0.50000,0.10000,0.00000,0.00000,6.00000,1.00000,0.00000,1.05000,0.30000
