Name,gauss(o=0_w=0.5_c=8),gauss(o=3_w=2_c=8),repulsion(o=0_c=8),hydrophobic(g=0.5_b=1.5_c=8),non_hydrophobic(g=0.5_b=1.5_c=8),vdw(i=6_j=12_s=1_^=100_c=8),non_dir_h_bond_lj(o=-0.7_^=100_c=8),non_dir_anti_h_bond_quadratic(o=0_c=8),non_dir_h_bond(g=-0.7_b=0_c=8),acceptor_acceptor_quadratic(o=0_c=8),donor_donor_quadratic(o=0_c=8),electrostatic(i=2_^=100_c=8),ad4_solvation(d-sigma=3.6_s/q=0.01097_c=8),num_tors_add,num_tors_sqr,num_tors_sqrt,num_tors_div,num_tors_div_simple,ligand_length,num_ligands,num_heavy_atoms_div,num_heavy_atoms,num_hydrophobic_atoms
2cnk_casp3_C00038156_decoy1,90.98148,885.72387,1.69877,68.49426,15.48207,-426.11406,-5.19617,0.00000,0.85435,0.35766,0.00000,0.11801,11.11419,2.00000,0.08000,0.06325,0.00000,0.00000,2.00000,1.00000,0.00000,1.25000,0.65000
2cnk_casp3_C00041574_decoy1,41.88193,833.58740,1.36696,19.24699,41.02623,-291.99389,-18.34777,0.00817,2.24581,0.27868,0.00000,0.14661,11.70616,4.00000,0.32000,0.08944,0.00000,0.00000,6.00000,1.00000,0.00000,1.15000,0.20000
2cnk_casp3_C00065951_decoy1,47.96250,588.64849,0.78352,27.02739,36.23785,-263.44255,-10.43236,0.00000,1.29399,0.02652,0.00000,0.24440,9.40894,3.00000,0.18000,0.07746,0.00000,0.00000,4.00000,1.00000,0.00000,0.90000,0.50000
2cnk_casp3_C00068264_decoy1,56.28327,832.91618,0.48261,40.20195,11.72766,-348.95186,-0.22181,0.00000,0.00000,0.00000,0.00000,0.16281,10.58484,2.00000,0.08000,0.06325,0.00000,0.00000,2.00000,1.00000,0.00000,1.10000,0.60000
2cnk_casp3_C00078274_decoy1,46.74179,568.26707,0.36950,27.98462,3.09276,-244.43420,-0.06943,0.00000,0.00000,0.00000,0.00000,0.05489,3.61898,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.90000,0.40000
2cnk_casp3_C00087396_decoy1,61.10275,811.40208,0.96761,48.01527,50.34896,-382.63618,-7.12305,0.00000,0.75749,0.22262,0.00000,0.11349,9.16585,3.00000,0.18000,0.07746,0.00000,0.00000,3.00000,1.00000,0.00000,1.05000,0.50000
2cnk_casp3_C00088544_decoy1,56.15774,687.07852,0.29550,18.89547,14.26570,-295.18060,-1.10486,0.00000,0.00000,0.00000,0.00000,0.09463,5.17419,4.00000,0.32000,0.08944,0.00000,0.00000,6.00000,1.00000,0.00000,0.95000,0.30000
2cnk_casp3_C00091004_decoy1,64.83430,657.72276,0.33857,43.22312,25.76514,-301.96389,-3.98205,0.02921,0.22889,0.02921,0.00000,0.09453,11.94689,1.00000,0.02000,0.04472,0.00000,0.00000,1.00000,1.00000,0.00000,0.95000,0.40000
2cnk_casp3_C00091902_decoy1,54.59805,545.33627,0.41648,32.63392,6.74578,-258.87800,-0.37250,0.00000,0.00000,0.00000,0.00000,0.09324,6.99160,2.00000,0.08000,0.06325,0.00000,0.00000,2.00000,1.00000,0.00000,1.00000,0.50000
2cnk_casp3_C00094501_decoy1,53.47389,654.91310,0.54816,37.59671,18.64058,-278.09973,-5.10111,0.00000,0.56011,0.00000,0.00000,0.23819,6.99768,4.00000,0.32000,0.08944,0.00000,0.00000,4.00000,1.00000,0.00000,1.00000,0.35000
2cnk_casp3_C00094791_decoy1,36.99879,678.47156,0.38097,28.68102,1.43742,-265.24779,-0.13780,0.00000,0.00000,0.00000,0.00000,0.06562,6.98998,2.00000,0.08000,0.06325,0.00000,0.00000,2.00000,1.00000,0.00000,1.05000,0.45000
2cnk_casp3_C00106535_decoy1,61.16111,645.83476,0.55758,41.39100,14.24704,-274.42402,-4.70176,0.00000,0.73605,0.26547,0.00000,0.09455,7.84888,4.00000,0.32000,0.08944,0.00000,0.00000,4.00000,1.00000,0.00000,1.00000,0.60000
2cnk_casp3_C00108780_decoy1,51.16441,902.00382,0.87112,40.86581,37.09019,-353.65113,-6.76300,0.06189,0.71593,0.10026,0.00000,0.14531,10.36162,2.00000,0.08000,0.06325,0.00000,0.00000,2.00000,1.00000,0.00000,1.05000,0.45000
2cnk_casp3_C00116988_decoy1,42.72299,774.49484,0.19794,10.33212,15.81781,-262.13544,-1.93893,0.00000,0.00000,0.00000,0.00000,0.11826,9.28386,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.10000,0.30000
2cnk_casp3_C00119514_decoy1,60.14870,682.89483,0.70199,60.51705,20.04172,-325.50979,-4.46395,0.00000,0.35804,0.06281,0.00000,0.08923,7.64435,2.00000,0.08000,0.06325,0.00000,0.00000,2.00000,1.00000,0.00000,1.10000,0.60000
2cnk_casp3_C00192398_decoy1,52.34580,782.74558,0.61428,26.13217,16.08213,-301.19568,-5.62607,0.00543,0.95937,0.45642,0.00000,0.27612,13.22890,3.00000,0.18000,0.07746,0.00000,0.00000,4.00000,1.00000,0.00000,1.00000,0.50000
2cnk_casp3_C00217108_decoy1,51.21734,720.88448,0.33411,33.28343,7.09465,-296.50015,-0.53387,0.00000,0.00000,0.00000,0.00000,0.11902,4.26294,2.00000,0.08000,0.06325,0.00000,0.00000,2.00000,1.00000,0.00000,1.15000,0.75000
2cnk_casp3_C00219924_decoy1,46.64333,736.37226,0.64524,29.56050,17.90324,-296.34918,-2.88585,0.10379,0.24593,0.10379,0.00000,0.12300,4.52145,2.00000,0.08000,0.06325,0.00000,0.00000,2.00000,1.00000,0.00000,1.15000,0.40000
2cnk_casp3_C00221929_decoy1,50.30135,1034.86629,2.12598,13.14465,55.68817,-405.55431,-26.96139,0.00000,2.82899,0.00000,0.00000,0.11628,5.54824,2.00000,0.08000,0.06325,0.00000,0.00000,2.00000,1.00000,0.00000,1.05000,0.50000
2cnk_casp3_C00222025_decoy1,50.53705,704.57455,0.25534,28.39413,27.78763,-290.24705,-0.72906,0.03497,0.00000,0.03497,0.00000,0.10143,5.87722,2.00000,0.08000,0.06325,0.00000,0.00000,2.00000,1.00000,0.00000,1.05000,0.45000
2cnk_casp3_C00246472_decoy1,48.31636,847.53815,0.41703,26.39027,23.05045,-320.45500,-0.22645,0.00000,0.00000,0.00000,0.00000,0.09474,4.84971,2.00000,0.08000,0.06325,0.00000,0.00000,2.00000,1.00000,0.00000,1.15000,0.60000
2cnk_casp3_C00255763_decoy1,34.76486,565.53548,0.58958,8.68135,37.94682,-207.99177,-9.51781,0.00000,1.24813,0.00000,0.00000,0.07650,4.83129,2.00000,0.08000,0.06325,0.00000,0.00000,2.00000,1.00000,0.00000,0.65000,0.15000
2cnk_casp3_C00256244_decoy1,50.12142,580.77902,1.02195,47.49668,1.64647,-274.04381,-0.10920,0.00000,0.00000,0.00000,0.00000,0.08245,2.52878,2.00000,0.08000,0.06325,0.00000,0.00000,2.00000,1.00000,0.00000,0.85000,0.45000
2cnk_casp3_C00289174_decoy1,44.07493,758.17968,0.21577,23.70658,25.70124,-324.54303,-0.99744,0.00000,0.00000,0.00000,0.00000,0.12333,6.89470,3.00000,0.18000,0.07746,0.00000,0.00000,4.00000,1.00000,0.00000,1.10000,0.55000
2cnk_casp3_C00314074_decoy1,62.73176,1154.41657,1.61726,19.06421,60.69283,-494.41744,-20.35806,0.00000,2.65756,0.00000,0.00000,0.17132,14.30419,2.00000,0.08000,0.06325,0.00000,0.00000,2.00000,1.00000,0.00000,1.20000,0.80000
2cnk_casp3_C00318687_decoy1,40.50097,670.65976,0.57130,42.51929,5.71334,-265.35993,-0.32604,0.02391,0.00000,0.02391,0.00000,0.20716,9.47954,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.05000,0.45000
