Name,gauss(o=0_w=0.5_c=8),gauss(o=3_w=2_c=8),repulsion(o=0_c=8),hydrophobic(g=0.5_b=1.5_c=8),non_hydrophobic(g=0.5_b=1.5_c=8),vdw(i=6_j=12_s=1_^=100_c=8),non_dir_h_bond_lj(o=-0.7_^=100_c=8),non_dir_anti_h_bond_quadratic(o=0_c=8),non_dir_h_bond(g=-0.7_b=0_c=8),acceptor_acceptor_quadratic(o=0_c=8),donor_donor_quadratic(o=0_c=8),electrostatic(i=2_^=100_c=8),ad4_solvation(d-sigma=3.6_s/q=0.01097_c=8),num_tors_add,num_tors_sqr,num_tors_sqrt,num_tors_div,num_tors_div_simple,ligand_length,num_ligands,num_heavy_atoms_div,num_heavy_atoms,num_hydrophobic_atoms
3nxu_cp3a4_C00002264_decoy1,67.92029,1115.36943,0.69971,61.09630,30.66280,-448.61364,-2.68580,0.00000,0.15759,0.00000,0.01217,0.06873,-3.06598,4.00000,0.32000,0.08944,0.00000,0.00000,4.00000,1.00000,0.00000,1.10000,0.55000
3nxu_cp3a4_C00003374_decoy1,83.67895,1271.42447,1.21828,81.85101,39.50029,-517.34902,-8.58396,0.00000,1.31826,0.43795,0.00000,0.15974,1.98056,4.00000,0.32000,0.08944,0.00000,0.00000,4.00000,1.00000,0.00000,1.25000,0.80000
3nxu_cp3a4_C00018157_decoy1,80.22707,1037.06808,1.03304,104.53371,22.63876,-461.79124,-10.90079,0.00000,1.24717,0.16980,0.15889,0.23805,6.74456,4.00000,0.32000,0.08944,0.00000,0.00000,6.00000,1.00000,0.00000,1.15000,0.75000
3nxu_cp3a4_C00031166_decoy1,41.55492,656.96258,0.94208,32.15622,39.23554,-270.00793,-17.20396,0.00000,2.47510,0.33817,0.55051,0.12291,1.68593,1.00000,0.02000,0.04472,0.00000,0.00000,1.00000,1.00000,0.00000,0.60000,0.30000
3nxu_cp3a4_C00032033_decoy1,65.48845,1211.49838,1.05301,82.83005,6.30756,-462.13125,-0.21702,0.00000,0.00000,0.00000,0.00000,0.22766,2.13970,4.00000,0.32000,0.08944,0.00000,0.00000,4.00000,1.00000,0.00000,1.25000,0.65000
3nxu_cp3a4_C00033576_decoy1,28.23930,444.51551,0.21261,18.34558,13.55159,-185.66778,-3.52689,0.00000,0.43685,0.00000,0.09351,0.06887,1.06038,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.40000,0.15000
3nxu_cp3a4_C00037491_decoy1,48.10045,1070.53142,0.63417,64.61183,20.50116,-389.14411,-0.60382,0.00000,0.00000,0.00000,0.00000,0.14550,5.75772,4.00000,0.32000,0.08944,0.00000,0.00000,6.00000,1.00000,0.00000,1.15000,0.55000
3nxu_cp3a4_C00042448_decoy1,41.42652,1024.34030,0.51454,64.48070,8.73301,-350.22939,-0.70494,0.00000,0.00000,0.00000,0.00000,0.13773,3.83475,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.10000,0.80000
3nxu_cp3a4_C00049907_decoy1,36.64242,794.39354,0.25064,49.34704,5.36172,-311.96333,-0.06575,0.00000,0.00000,0.00000,0.00000,0.13160,11.19318,1.00000,0.02000,0.04472,0.00000,0.00000,1.00000,1.00000,0.00000,0.90000,0.45000
3nxu_cp3a4_C00062683_decoy1,74.55154,1114.82282,0.43390,82.08668,4.57630,-458.87703,-0.98172,0.00000,0.00000,0.00000,0.00000,0.31919,15.31299,5.00000,0.50000,0.10000,0.00000,0.00000,8.00000,1.00000,0.00000,1.20000,0.75000
