Name,gauss(o=0_w=0.5_c=8),gauss(o=3_w=2_c=8),repulsion(o=0_c=8),hydrophobic(g=0.5_b=1.5_c=8),non_hydrophobic(g=0.5_b=1.5_c=8),vdw(i=6_j=12_s=1_^=100_c=8),non_dir_h_bond_lj(o=-0.7_^=100_c=8),non_dir_anti_h_bond_quadratic(o=0_c=8),non_dir_h_bond(g=-0.7_b=0_c=8),acceptor_acceptor_quadratic(o=0_c=8),donor_donor_quadratic(o=0_c=8),electrostatic(i=2_^=100_c=8),ad4_solvation(d-sigma=3.6_s/q=0.01097_c=8),num_tors_add,num_tors_sqr,num_tors_sqrt,num_tors_div,num_tors_div_simple,ligand_length,num_ligands,num_heavy_atoms_div,num_heavy_atoms,num_hydrophobic_atoms
3odu_cxcr4_C00052422_decoy1,67.60257,989.68227,1.85477,24.80399,60.88371,-391.57452,-23.22959,0.00000,2.78025,0.00000,0.00000,0.18786,13.25571,2.00000,0.08000,0.06325,0.00000,0.00000,2.00000,1.00000,0.00000,0.95000,0.15000
3odu_cxcr4_C00155015_decoy1,51.28947,965.10287,0.41963,10.95541,57.83171,-360.28586,-8.87757,0.00000,0.65573,0.00000,0.00000,0.15910,18.05824,4.00000,0.32000,0.08944,0.00000,0.00000,6.00000,1.00000,0.00000,0.95000,0.15000
3odu_cxcr4_C00173398_decoy1,37.39022,780.43841,0.97744,6.58354,43.79144,-293.53481,-13.94098,0.00000,1.80533,0.79986,0.00000,0.18787,12.30653,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.10000,0.50000
3odu_cxcr4_C00212638_decoy1,50.73322,1130.07160,0.62342,31.14983,22.60663,-364.41402,-0.58661,0.00000,0.00000,0.00000,0.00000,0.08615,4.58930,4.00000,0.32000,0.08944,0.00000,0.00000,6.00000,1.00000,0.00000,1.20000,0.55000
3odu_cxcr4_C00241422_decoy1,90.94613,1252.60326,2.62948,42.37225,66.56429,-536.14095,-21.93910,0.00000,3.44069,0.86616,0.13347,0.11169,19.53078,6.00000,0.72000,0.10954,0.00000,0.00000,6.00000,1.00000,0.00000,1.25000,0.40000
3odu_cxcr4_C00287378_decoy1,58.92711,1061.22758,0.68954,39.36797,29.34569,-392.32147,-6.06818,0.01342,0.97753,0.01342,0.00000,0.24440,15.03923,5.00000,0.50000,0.10000,0.00000,0.00000,4.00000,1.00000,0.00000,1.05000,0.55000
3odu_cxcr4_C00434082_decoy1,75.76331,839.56463,1.34933,39.88858,39.23829,-353.76731,-16.44212,0.00014,2.23813,0.40469,0.00000,0.26394,13.46577,4.00000,0.32000,0.08944,0.00000,0.00000,6.00000,1.00000,0.00000,0.75000,0.25000
3odu_cxcr4_C00474797_decoy1,59.96208,1208.37052,0.56948,41.60301,33.35222,-441.86780,-3.58296,0.03903,0.19356,0.03903,0.00000,0.23310,20.49217,6.00000,0.72000,0.10954,0.00000,0.00000,6.00000,1.00000,0.00000,1.20000,0.55000
3odu_cxcr4_C00487547_decoy1,66.43187,1192.96776,0.64792,9.14052,73.60290,-467.77884,-6.48185,0.00000,0.33094,0.00000,0.05367,0.06543,16.47982,4.00000,0.32000,0.08944,0.00000,0.00000,6.00000,1.00000,0.00000,1.10000,0.30000
3odu_cxcr4_C00718279_decoy1,73.68408,1199.63717,0.44982,41.30937,38.30589,-465.86842,-1.51813,0.05098,0.00000,0.05098,0.00000,0.24911,13.53846,7.00000,0.98000,0.11832,0.00000,0.00000,6.00000,1.00000,0.00000,1.30000,0.60000
3odu_cxcr4_C00719704_decoy1,72.31859,1262.19221,1.87129,28.87350,61.81155,-488.06009,-8.80578,0.00000,0.98083,0.06733,0.00000,0.27914,16.62038,7.00000,0.98000,0.11832,0.00000,0.00000,10.00000,1.00000,0.00000,1.30000,0.45000
