Name,gauss(o=0_w=0.5_c=8),gauss(o=3_w=2_c=8),repulsion(o=0_c=8),hydrophobic(g=0.5_b=1.5_c=8),non_hydrophobic(g=0.5_b=1.5_c=8),vdw(i=6_j=12_s=1_^=100_c=8),non_dir_h_bond_lj(o=-0.7_^=100_c=8),non_dir_anti_h_bond_quadratic(o=0_c=8),non_dir_h_bond(g=-0.7_b=0_c=8),acceptor_acceptor_quadratic(o=0_c=8),donor_donor_quadratic(o=0_c=8),electrostatic(i=2_^=100_c=8),ad4_solvation(d-sigma=3.6_s/q=0.01097_c=8),num_tors_add,num_tors_sqr,num_tors_sqrt,num_tors_div,num_tors_div_simple,ligand_length,num_ligands,num_heavy_atoms_div,num_heavy_atoms,num_hydrophobic_atoms
1kvo_pa2ga_C00066604_decoy1,68.37168,1225.85632,0.96942,46.49605,62.35309,-519.23417,-6.05470,0.00000,0.46063,0.00000,0.00000,0.17954,9.81815,4.00000,0.32000,0.08944,0.00000,0.00000,6.00000,1.00000,0.00000,1.15000,0.55000
1kvo_pa2ga_C00149440_decoy1,71.29321,1249.57996,1.89811,28.89629,76.98783,-520.85609,-16.44126,0.01942,2.36101,0.01942,0.00000,0.16762,8.76298,7.00000,0.98000,0.11832,0.00000,0.00000,6.00000,1.00000,0.00000,1.05000,0.35000
1kvo_pa2ga_C00320263_decoy1,77.05756,1073.30002,1.93659,54.72272,20.49729,-495.68843,-0.47151,0.00000,0.00000,0.00000,0.00000,0.18995,14.86747,5.00000,0.50000,0.10000,0.00000,0.00000,6.00000,1.00000,0.00000,1.20000,0.75000
1kvo_pa2ga_C00358129_decoy1,87.82162,1013.94839,0.89071,32.89436,57.96051,-473.98506,-7.31982,0.00215,0.46107,0.00215,0.00000,0.18211,14.72149,5.00000,0.50000,0.10000,0.00000,0.00000,6.00000,1.00000,0.00000,1.15000,0.55000
1kvo_pa2ga_C00373914_decoy1,81.39376,1292.60247,2.48880,43.71348,72.72431,-535.51090,-19.64340,0.06988,2.72385,0.06988,0.00000,0.29574,9.58799,5.00000,0.50000,0.10000,0.00000,0.00000,6.00000,1.00000,0.00000,1.20000,0.60000
1kvo_pa2ga_C00418307_decoy1,68.59510,1295.33692,0.76888,40.33573,54.21902,-537.03254,-0.38955,0.00000,0.00000,0.00000,0.00000,0.23296,8.07815,5.00000,0.50000,0.10000,0.00000,0.00000,6.00000,1.00000,0.00000,1.20000,0.65000
1kvo_pa2ga_C00418397_decoy1,69.54520,1244.26666,0.47395,44.29121,46.67899,-516.82569,-0.78094,0.00000,0.00000,0.00000,0.00000,0.20066,5.60194,5.00000,0.50000,0.10000,0.00000,0.00000,6.00000,1.00000,0.00000,1.20000,0.65000
1kvo_pa2ga_C00442492_decoy1,72.06274,1075.26527,0.83903,36.63474,59.36611,-470.07142,-8.89805,0.08437,0.80024,0.08437,0.00000,0.36770,12.98765,6.00000,0.72000,0.10954,0.00000,0.00000,6.00000,1.00000,0.00000,0.90000,0.40000
1kvo_pa2ga_C00480272_decoy1,60.09484,1096.37320,0.38424,39.86288,32.87222,-469.99806,-0.40219,0.00000,0.00000,0.00000,0.00000,0.25324,12.83741,4.00000,0.32000,0.08944,0.00000,0.00000,6.00000,1.00000,0.00000,1.00000,0.55000
1kvo_pa2ga_C00614207_decoy1,72.59193,1291.36473,1.04909,38.36445,82.37969,-545.98377,-14.19420,0.01993,1.78072,0.01886,0.00108,0.20869,14.73340,6.00000,0.72000,0.10954,0.00000,0.00000,6.00000,1.00000,0.00000,1.15000,0.45000
1kvo_pa2ga_C00621841_decoy1,98.12009,1542.48207,0.87464,58.75051,58.74478,-657.13728,-2.52962,0.00000,0.00000,0.00000,0.00000,0.22480,21.20521,12.00000,2.88000,0.15492,0.00000,0.00000,8.00000,1.00000,0.00000,1.85000,0.95000
1kvo_pa2ga_C00665681_decoy1,84.28788,1408.58876,0.56948,44.72448,41.19026,-586.13017,-1.70748,0.00349,0.00000,0.00345,0.00005,0.21931,12.25741,8.00000,1.28000,0.12649,0.00000,0.00000,8.00000,1.00000,0.00000,1.45000,0.65000
1kvo_pa2ga_C00713389_decoy1,67.24467,876.39350,0.59902,34.14382,38.62150,-394.73327,-4.05691,0.00000,0.33203,0.00000,0.00000,0.26777,19.18367,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.45000,0.80000
1kvo_pa2ga_C00715666_decoy1,82.93145,1355.77989,0.76967,36.98766,63.48226,-566.55623,-9.77882,0.00079,0.72369,0.00079,0.00000,0.48874,28.52340,8.00000,1.28000,0.12649,0.00000,0.00000,8.00000,1.00000,0.00000,1.40000,0.50000
1kvo_pa2ga_C00717941_decoy1,63.34724,1168.46087,2.26275,47.39908,31.87074,-494.26576,-3.00978,0.00000,0.00000,0.00000,0.00000,0.14305,8.98749,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.30000,0.85000
1kvo_pa2ga_C00731386_decoy1,34.81154,828.10536,0.29798,25.88649,19.06128,-343.44232,-0.34953,0.00000,0.00000,0.00000,0.00000,0.12133,8.99008,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,1.35000,0.60000
1kvo_pa2ga_C00754238_decoy1,74.04651,1239.96508,2.39365,42.07701,61.44142,-510.58307,-7.17119,0.29398,0.65283,0.29398,0.00000,0.12238,11.77315,2.00000,0.08000,0.06325,0.00000,0.00000,2.00000,1.00000,0.00000,1.45000,0.65000
1kvo_pa2ga_C00786360_decoy1,115.99310,1620.08398,2.75117,45.96312,110.00903,-734.35102,-22.49121,0.54665,2.76629,0.96548,0.01275,0.24968,13.28184,8.00000,1.28000,0.12649,0.00000,0.00000,8.00000,1.00000,0.00000,1.45000,0.65000
1kvo_pa2ga_C00795216_decoy1,68.98325,1466.62068,1.01408,44.14676,67.20763,-576.89606,-9.05636,0.00000,1.03705,0.00000,0.00000,0.25023,10.47754,7.00000,0.98000,0.11832,0.00000,0.00000,8.00000,1.00000,0.00000,1.55000,0.65000
1kvo_pa2ga_C00811628_decoy1,64.43869,1279.39546,0.51232,37.06820,26.02158,-542.79560,-3.44161,0.00000,0.37910,0.00000,0.00000,0.23289,12.50856,6.00000,0.72000,0.10954,0.00000,0.00000,6.00000,1.00000,0.00000,1.30000,0.70000
1kvo_pa2ga_C00833024_decoy1,70.19502,1123.27876,1.08562,43.19593,49.46514,-481.17556,-9.72089,0.02902,1.18780,0.02902,0.00000,0.40140,22.75636,7.00000,0.98000,0.11832,0.00000,0.00000,8.00000,1.00000,0.00000,1.40000,0.70000
