Name,gauss(o=0_w=0.5_c=8),gauss(o=3_w=2_c=8),repulsion(o=0_c=8),hydrophobic(g=0.5_b=1.5_c=8),non_hydrophobic(g=0.5_b=1.5_c=8),vdw(i=6_j=12_s=1_^=100_c=8),non_dir_h_bond_lj(o=-0.7_^=100_c=8),non_dir_anti_h_bond_quadratic(o=0_c=8),non_dir_h_bond(g=-0.7_b=0_c=8),acceptor_acceptor_quadratic(o=0_c=8),donor_donor_quadratic(o=0_c=8),electrostatic(i=2_^=100_c=8),ad4_solvation(d-sigma=3.6_s/q=0.01097_c=8),num_tors_add,num_tors_sqr,num_tors_sqrt,num_tors_div,num_tors_div_simple,ligand_length,num_ligands,num_heavy_atoms_div,num_heavy_atoms,num_hydrophobic_atoms
3biz_wee1_C00038517_decoy1,75.08967,1212.38699,1.04412,52.39252,25.87605,-479.86162,-4.55435,0.00000,0.43418,0.00000,0.00000,0.22272,9.43660,3.00000,0.18000,0.07746,0.00000,0.00000,4.00000,1.00000,0.00000,1.05000,0.60000
3biz_wee1_C00041317_decoy1,75.71612,1302.15551,2.55008,41.98981,30.77393,-509.92676,-11.33920,0.17416,1.78212,0.17416,0.39291,0.20938,19.43222,1.00000,0.02000,0.04472,0.00000,0.00000,1.00000,1.00000,0.00000,1.10000,0.40000
3biz_wee1_C00058554_decoy1,26.26099,721.50371,0.89293,1.56018,26.33132,-226.07319,-11.09982,0.04877,1.62118,0.04877,0.00000,0.15023,9.33781,2.00000,0.08000,0.06325,0.00000,0.00000,2.00000,1.00000,0.00000,1.20000,0.75000
3biz_wee1_C00070915_decoy1,42.95903,745.14447,1.12351,8.48713,50.19962,-278.51951,-16.43839,0.03357,1.73221,0.25981,0.00000,0.16719,9.17324,1.00000,0.02000,0.04472,0.00000,0.00000,1.00000,1.00000,0.00000,1.05000,0.65000
3biz_wee1_C00076371_decoy1,84.21178,1326.38093,1.26407,66.77074,13.85609,-506.68342,-1.90395,0.00000,0.00000,0.00000,0.00000,0.18464,23.14051,2.00000,0.08000,0.06325,0.00000,0.00000,2.00000,1.00000,0.00000,1.10000,0.60000
3biz_wee1_C00092501_decoy1,20.88741,599.41288,0.79191,4.78314,19.49645,-197.26826,-17.57491,0.00000,2.53290,0.26131,0.26981,0.23463,6.46264,2.00000,0.08000,0.06325,0.00000,0.00000,2.00000,1.00000,0.00000,0.80000,0.45000
3biz_wee1_C00106530_decoy1,61.07143,1202.77179,3.51951,38.99584,26.58000,-434.99489,-9.11468,0.00000,1.39944,0.00000,0.00000,0.03408,15.30720,2.00000,0.08000,0.06325,0.00000,0.00000,2.00000,1.00000,0.00000,1.10000,0.70000
3biz_wee1_C00135843_decoy1,74.58419,1050.75821,1.24478,47.17048,43.99414,-440.31314,-11.47113,0.00000,1.56050,0.66460,0.15394,0.20633,18.25551,1.00000,0.02000,0.04472,0.00000,0.00000,1.00000,1.00000,0.00000,0.90000,0.40000
3biz_wee1_C00141735_decoy1,64.07001,1131.03930,2.68233,40.61270,29.90586,-466.71225,-5.62068,0.00000,0.72097,0.00000,0.00000,0.13425,15.08484,2.00000,0.08000,0.06325,0.00000,0.00000,2.00000,1.00000,0.00000,0.90000,0.40000
3biz_wee1_C00143633_decoy1,24.67748,731.57944,1.04776,5.20579,27.93775,-214.68977,-10.58323,0.17080,1.43460,0.49696,0.01888,0.15013,8.97964,1.00000,0.02000,0.04472,0.00000,0.00000,1.00000,1.00000,0.00000,1.30000,0.90000
